time,open,high,low,close,tick_volume,spread,real_volume
2025-04-14 19:00:00,3208.18,3213.05,3207.74,3212.7,5632,12,0
2025-04-14 20:00:00,3212.7,3213.72,3207.35,3210.39,2502,12,0
2025-04-14 22:00:00,3211.91,3215.14,3210.79,3212.18,1764,12,0
2025-04-14 23:00:00,3212.18,3214.17,3210.43,3212.61,2977,12,0
2025-04-15 00:00:00,3212.61,3215.21,3210.79,3211.9,4167,12,0
2025-04-15 01:00:00,3211.9,3225.91,3209.97,3223.68,9650,12,0
2025-04-15 02:00:00,3223.68,3224.95,3218.65,3224.41,5518,12,0
2025-04-15 03:00:00,3224.3,3229.05,3223.15,3228.38,5855,12,0
2025-04-15 04:00:00,3228.38,3232.54,3226.83,3231.84,3919,12,0
2025-04-15 05:00:00,3231.79,3232.13,3220.77,3224.6,6714,12,0
2025-04-15 06:00:00,3224.6,3228.69,3223.19,3225.18,6874,12,0
2025-04-15 07:00:00,3225.18,3226.59,3217.32,3225.59,8015,12,0
2025-04-15 08:00:00,3225.58,3232.17,3224.36,3227.61,9726,12,0
2025-04-15 09:00:00,3227.61,3230.1,3221.06,3222.51,5928,12,0
2025-04-15 10:00:00,3222.51,3226.94,3219.71,3220.19,5334,12,0
2025-04-15 11:00:00,3220.19,3224.1,3216.79,3220.15,6564,12,0
2025-04-15 12:00:00,3220.12,3226.15,3214.35,3221.53,10438,12,0
2025-04-15 13:00:00,3221.55,3226.29,3211.62,3213.0,14508,12,0
2025-04-15 14:00:00,3213.0,3226.88,3212.95,3222.61,14320,12,0
2025-04-15 15:00:00,3222.61,3224.05,3216.86,3221.32,8709,12,0
2025-04-15 16:00:00,3221.32,3223.39,3219.51,3221.45,4658,12,0
2025-04-15 17:00:00,3221.45,3230.65,3220.4,3227.92,5738,12,0
2025-04-15 18:00:00,3227.92,3229.63,3225.66,3229.08,6088,12,0
2025-04-15 19:00:00,3229.08,3231.77,3226.17,3229.81,5174,12,0
2025-04-15 20:00:00,3229.8,3233.57,3226.32,3229.41,2760,12,0
2025-04-15 22:00:00,3230.61,3242.18,3229.85,3241.34,3355,12,0
2025-04-15 23:00:00,3241.34,3251.81,3238.36,3251.79,6511,12,0
2025-04-16 00:00:00,3251.79,3268.04,3251.59,3264.44,11428,12,0
2025-04-16 01:00:00,3264.44,3275.03,3255.91,3270.1,14786,12,0
2025-04-16 02:00:00,3270.1,3275.36,3266.95,3267.73,8910,12,0
2025-04-16 03:00:00,3267.73,3281.71,3266.25,3281.48,7456,12,0
2025-04-16 04:00:00,3281.47,3287.83,3269.23,3283.72,8826,12,0
2025-04-16 05:00:00,3283.72,3291.73,3283.67,3289.79,9295,12,0
2025-04-16 06:00:00,3289.79,3295.03,3286.05,3291.75,10913,12,0
2025-04-16 07:00:00,3291.75,3300.64,3291.4,3300.41,12406,12,0
2025-04-16 08:00:00,3300.41,3317.8,3288.78,3306.98,20109,12,0
2025-04-16 09:00:00,3306.98,3310.94,3300.0,3303.53,10583,12,0
2025-04-16 10:00:00,3303.53,3306.87,3299.63,3304.18,7785,12,0
2025-04-16 11:00:00,3304.14,3313.62,3292.92,3306.81,12372,12,0
2025-04-16 12:00:00,3306.81,3313.45,3302.52,3307.25,13309,12,0
2025-04-16 13:00:00,3307.25,3316.5,3296.81,3311.62,17641,12,0
2025-04-16 14:00:00,3311.64,3319.53,3306.23,3308.51,17778,12,0
2025-04-16 15:00:00,3308.51,3328.15,3305.37,3325.35,14954,12,0
2025-04-16 16:00:00,3325.35,3332.97,3321.39,3327.34,12174,12,0
2025-04-16 17:00:00,3327.34,3332.78,3324.42,3328.0,10829,12,0
2025-04-16 18:00:00,3328.32,3340.69,3326.4,3338.3,10308,12,0
2025-04-16 19:00:00,3338.3,3342.47,3335.91,3336.62,8691,12,0
2025-04-16 20:00:00,3336.66,3343.05,3334.38,3342.97,4800,12,0
2025-04-16 22:00:00,3343.84,3357.72,3343.03,3351.03,5356,12,0
