time,open,high,low,close,tick_volume,spread,real_volume
2025-04-25 17:45:00,3292.04,3292.74,3289.77,3291.9,654,12,0
2025-04-25 17:50:00,3291.9,3295.13,3291.9,3293.94,721,12,0
2025-04-25 17:55:00,3293.94,3294.6,3291.91,3293.31,655,12,0
2025-04-25 18:00:00,3293.23,3295.06,3291.59,3293.74,653,12,0
2025-04-25 18:05:00,3293.74,3297.07,3293.7,3296.02,590,12,0
2025-04-25 18:10:00,3296.02,3296.87,3293.49,3293.7,495,12,0
2025-04-25 18:15:00,3293.7,3294.87,3292.46,3294.63,422,12,0
2025-04-25 18:20:00,3294.63,3294.81,3293.35,3293.8,317,13,0
2025-04-25 18:25:00,3293.8,3294.78,3292.23,3293.47,500,15,0
2025-04-25 18:30:00,3293.47,3294.54,3292.49,3292.61,418,12,0
2025-04-25 18:35:00,3292.61,3293.35,3291.03,3291.38,457,12,0
2025-04-25 18:40:00,3291.38,3291.8,3290.49,3291.34,416,12,0
2025-04-25 18:45:00,3291.35,3292.11,3290.4,3290.71,350,12,0
2025-04-25 18:50:00,3290.71,3290.93,3288.76,3289.25,435,12,0
2025-04-25 18:55:00,3289.39,3290.25,3288.37,3288.39,449,12,0
2025-04-25 19:00:00,3288.49,3290.2,3288.17,3289.69,493,12,0
2025-04-25 19:05:00,3289.69,3290.13,3287.84,3288.58,418,12,0
2025-04-25 19:10:00,3288.58,3290.15,3287.95,3289.82,371,12,0
2025-04-25 19:15:00,3289.82,3292.82,3289.69,3291.62,518,12,0
2025-04-25 19:20:00,3291.86,3295.24,3291.73,3294.98,380,12,0
2025-04-25 19:25:00,3294.98,3295.3,3294.27,3294.72,358,12,0
2025-04-25 19:30:00,3294.72,3299.06,3294.72,3298.6,577,12,0
2025-04-25 19:35:00,3298.6,3304.84,3298.5,3304.06,885,12,0
2025-04-25 19:40:00,3303.95,3308.81,3303.85,3308.55,756,12,0
2025-04-25 19:45:00,3308.55,3308.61,3304.14,3308.03,828,12,0
2025-04-25 19:50:00,3308.03,3312.43,3306.95,3307.16,1066,12,0
2025-04-25 19:55:00,3307.16,3308.7,3304.39,3304.75,835,12,0
2025-04-25 20:00:00,3304.75,3306.92,3304.75,3305.65,442,12,0
2025-04-25 20:05:00,3305.65,3306.23,3304.77,3305.82,301,12,0
2025-04-25 20:10:00,3305.82,3306.9,3304.74,3305.49,315,12,0
2025-04-25 20:15:00,3305.49,3307.08,3305.44,3306.72,247,12,0
2025-04-25 20:20:00,3306.72,3311.47,3306.56,3309.2,386,12,0
2025-04-25 20:25:00,3309.2,3309.22,3306.67,3308.55,362,12,0
2025-04-25 20:30:00,3308.55,3309.23,3308.16,3308.9,271,12,0
2025-04-25 20:35:00,3308.9,3310.04,3307.14,3309.95,278,12,0
2025-04-25 20:40:00,3309.95,3314.33,3309.5,3314.28,321,12,0
2025-04-27 22:05:00,3325.9,3325.9,3321.93,3321.95,493,12,0
2025-04-27 22:10:00,3321.95,3330.1,3321.1,3326.69,672,12,0
2025-04-27 22:15:00,3326.65,3327.4,3322.62,3325.16,553,12,0
2025-04-27 22:20:00,3325.16,3325.97,3316.3,3317.61,695,12,0
2025-04-27 22:25:00,3317.61,3321.19,3316.57,3317.34,449,12,0
2025-04-27 22:30:00,3317.34,3317.51,3309.3,3310.29,861,12,0
2025-04-27 22:35:00,3310.26,3314.01,3309.59,3313.02,470,12,0
2025-04-27 22:40:00,3313.02,3313.15,3309.17,3309.44,263,12,0
2025-04-27 22:45:00,3309.44,3314.63,3309.44,3311.8,411,12,0
2025-04-27 22:50:00,3311.8,3312.87,3310.41,3311.02,200,12,0
