time,open,high,low,close,tick_volume,spread,real_volume
2025-04-24 09:45:00,1.13778,1.13876,1.13754,1.1384400000000001,1512,2,0
2025-04-24 10:00:00,1.1384400000000001,1.13947,1.13792,1.1391,1738,2,0
2025-04-24 10:15:00,1.13911,1.1393,1.13867,1.13875,1268,2,0
2025-04-24 10:30:00,1.13875,1.1391499999999999,1.1381000000000001,1.13825,1216,2,0
2025-04-24 10:45:00,1.13824,1.13897,1.13762,1.13795,1655,2,0
2025-04-24 11:00:00,1.13795,1.13884,1.13786,1.13874,1495,2,0
2025-04-24 11:15:00,1.13876,1.13902,1.13851,1.13882,1067,2,0
2025-04-24 11:30:00,1.13883,1.13886,1.13756,1.13812,1941,2,0
2025-04-24 11:45:00,1.13811,1.13858,1.13685,1.1373,2456,2,0
2025-04-24 12:00:00,1.13729,1.13787,1.13691,1.13703,1958,2,0
2025-04-24 12:15:00,1.13704,1.13709,1.13617,1.13654,1874,2,0
2025-04-24 12:30:00,1.13654,1.13711,1.13578,1.13676,2661,2,0
2025-04-24 12:45:00,1.13676,1.13782,1.13665,1.13765,2507,2,0
2025-04-24 13:00:00,1.13765,1.13841,1.13751,1.13778,2169,2,0
2025-04-24 13:15:00,1.13778,1.13799,1.13694,1.13742,1691,2,0
2025-04-24 13:30:00,1.13743,1.13799,1.13697,1.1373199999999999,2275,2,0
2025-04-24 13:45:00,1.1373199999999999,1.13779,1.13635,1.13761,1985,2,0
2025-04-24 14:00:00,1.13761,1.1387,1.13707,1.13815,2428,2,0
2025-04-24 14:15:00,1.13815,1.1385399999999999,1.13742,1.13811,2006,2,0
2025-04-24 14:30:00,1.1381000000000001,1.1385399999999999,1.13766,1.1384,2146,2,0
2025-04-24 14:45:00,1.13839,1.13875,1.13631,1.13727,3159,2,0
2025-04-24 15:00:00,1.13727,1.1376,1.13635,1.13675,2196,2,0
2025-04-24 15:15:00,1.13675,1.13702,1.13508,1.13578,2596,2,0
2025-04-24 15:30:00,1.13578,1.13636,1.13475,1.1351,1799,2,0
2025-04-24 15:45:00,1.13511,1.13635,1.13496,1.1360999999999999,1958,2,0
2025-04-24 16:00:00,1.1360999999999999,1.13686,1.13577,1.13666,1717,2,0
2025-04-24 16:15:00,1.13666,1.13727,1.13619,1.13692,1718,2,0
2025-04-24 16:30:00,1.13692,1.13761,1.13612,1.1374900000000001,1479,2,0
2025-04-24 16:45:00,1.1374900000000001,1.13806,1.13713,1.13801,1536,2,0
2025-04-24 17:00:00,1.13799,1.13856,1.13727,1.1374,1421,2,0
2025-04-24 17:15:00,1.1374,1.13741,1.13695,1.13735,928,2,0
2025-04-24 17:30:00,1.13735,1.13761,1.13674,1.13701,1146,2,0
2025-04-24 17:45:00,1.137,1.13745,1.13679,1.13693,915,2,0
2025-04-24 18:00:00,1.13692,1.1373,1.13654,1.13711,1031,2,0
